adopter,bill_sum,bill_win,cf,income,educ,sqft,kids,n_peo,age,retire,party,state
Adopter,115,115,19.2908626,62.5,Bachelor Degree,"(1500,2000]",0,1,71,1,Democrat,California
Non-adopter,18,63,17.1995282,62.5,Some College,"(1000,1500]",0,3,29,0,Independent,California
Adopter,500,180,17.0682681,87.5,Graduate Degree,"(3000,4000]",1,3,51,0,Republican,California
Non-adopter,63,63,19.9905379,37.5,Some College,"(0,1000]",0,1,64,1,Republican,Arizona
Adopter,90,150,17.0696245,87.5,Some College,"(2000,3000]",1,2,39,0,Democrat,California
Non-adopter,125,63,13.6007146,37.5,High School or Less,"(1500,2000]",1,2,35,0,Democrat,New York
Adopter,200,300,18.1662272,250,Bachelor Degree,"(3000,4000]",0,2,55,0,Democrat,California
Non-adopter,63,88,18.1662272,175,Bachelor Degree,"(2000,3000]",0,2,52,0,Republican,California
Adopter,250,200,17.7295933,175,Graduate Degree,"(4000,5000+]",0,1,70,0,Independent,California
Non-adopter,300,140,18.5442682,250,High School or Less,"(1500,2000]",0,3,55,0,Republican,California
Adopter,400,100,17.0682681,125,Some College,"(1500,2000]",0,2,64,1,Republican,California
Non-adopter,125,125,19.8069413,62.5,Graduate Degree,"(1000,1500]",0,2,29,0,Independent,Arizona
Adopter,250,250,17.7295933,175,Bachelor Degree,"(1500,2000]",0,3,63,0,Republican,California
Non-adopter,275,38,19.2330297,62.5,Some College,"(1000,1500]",0,2,30,0,Democrat,Arizona
Adopter,100,65,18.2273476,125,Bachelor Degree,"(1000,1500]",0,1,30,0,Democrat,California
Non-adopter,63,88,13.1402931,175,High School or Less,"(4000,5000+]",1,1,36,0,Independent,New York
Non-adopter,38,63,18.1662272,37.5,Some College,"(1500,2000]",0,3,54,0,Democrat,California
Non-adopter,63,125,17.7295933,62.5,Some College,"(1500,2000]",0,1,70,1,Independent,California
Non-adopter,65,85,13.3203871,62.5,Bachelor Degree,"(1500,2000]",0,2,61,1,Democrat,New York
Adopter,400,200,18.1662272,62.5,Bachelor Degree,"(1000,1500]",0,2,67,1,Democrat,California
Non-adopter,63,325,14.0733312,175,Graduate Degree,"(2000,3000]",0,1,65,1,Independent,New Jersey
Non-adopter,38,38,12.3941711,37.5,High School or Less,"(1000,1500]",0,3,44,0,Republican,New York
Non-adopter,88,88,13.6928697,37.5,High School or Less,"(1000,1500]",0,3,53,0,Independent,New York
Non-adopter,225,175,18.4697327,62.5,Some College,"(1500,2000]",0,1,62,1,Republican,Arizona
Non-adopter,650,450,18.5442682,125,Bachelor Degree,"(4000,5000+]",0,2,66,0,Independent,California
Non-adopter,200,100,18.700047,37.5,High School or Less,"(4000,5000+]",1,3,24,0,Republican,California
Non-adopter,325,180,19.2908626,250,Bachelor Degree,"(1500,2000]",1,2,50,0,Republican,California
Adopter,175,80,18.3624927,175,Some College,"(1000,1500]",1,2,38,0,Democrat,California
Non-adopter,175,175,13.7866209,37.5,Some College,"(2000,3000]",1,3,54,0,Democrat,New York
Non-adopter,80,140,19.9905379,62.5,Bachelor Degree,"(1500,2000]",0,2,67,1,Democrat,Arizona
Adopter,150,100,14.1458314,87.5,Some College,"(0,1000]",0,1,65,1,Republican,New Jersey
Non-adopter,225,175,13.2581266,175,Bachelor Degree,"(2000,3000]",1,2,53,0,Democrat,New York
Non-adopter,175,175,18.1662272,62.5,High School or Less,"(1500,2000]",1,2,59,1,Republican,California
Non-adopter,150,100,19.0826154,175,Bachelor Degree,"(2000,3000]",1,2,30,0,Republican,California
Non-adopter,225,88,18.4697327,125,High School or Less,"(1500,2000]",0,3,40,0,Democrat,Arizona
Adopter,200,30,18.5442682,125,Bachelor Degree,"(1500,2000]",0,3,59,0,Democrat,California
Non-adopter,250,100,14.1104985,350,Graduate Degree,"(3000,4000]",0,2,56,0,Republican,New Jersey
Non-adopter,195,160,13.6167158,87.5,Some College,"(1000,1500]",1,2,34,0,Democrat,New York
Non-adopter,125,125,13.3413813,87.5,Some College,"(1500,2000]",0,2,71,1,Independent,New York
Adopter,140,134,14.4799344,37.5,Some College,"(1000,1500]",0,3,72,1,Independent,New York
Non-adopter,38,38,16.3724796,87.5,Bachelor Degree,"(1500,2000]",0,2,56,1,Democrat,California
Non-adopter,175,88,19.8840528,62.5,Some College,"(1000,1500]",0,2,65,1,Democrat,Arizona
Adopter,225,325,19.2908626,125,Bachelor Degree,"(2000,3000]",0,2,56,1,Independent,California
Non-adopter,275,400,14.1812924,37.5,Some College,"(2000,3000]",1,3,62,1,Democrat,New Jersey
Adopter,385,180,17.3451732,125,Bachelor Degree,"(2000,3000]",0,2,64,1,Independent,California
Non-adopter,100,100,13.4536466,37.5,Graduate Degree,"(1500,2000]",0,2,46,0,Independent,New York
Non-adopter,125,88,19.9905379,87.5,Bachelor Degree,"(1500,2000]",0,1,54,0,Republican,Arizona
