adopter,bill_sum,bill_win,cf,income,educ,sqft,kids,n_peo,age,retire,party,state
Non-adopter,250,100,19.9905379,62.5,Some College,"(2000,3000]",1,2,33,0,Independent,Arizona
Non-adopter,38,125,19.9372954,37.5,Bachelor Degree,"(1500,2000]",0,2,94,1,Republican,Arizona
Non-adopter,80,60,14.1458314,62.5,Bachelor Degree,"(2000,3000]",0,3,29,0,Independent,New Jersey
Adopter,330,210,18.5442682,175,Bachelor Degree,"(1500,2000]",0,2,62,0,Republican,California
Non-adopter,125,63,18.4697327,62.5,Some College,"(1000,1500]",0,1,68,0,Republican,Arizona
Adopter,30,200,17.1184243,62.5,Bachelor Degree,"(2000,3000]",1,3,43,0,Independent,California
Non-adopter,100,300,13.1402931,62.5,Bachelor Degree,"(1000,1500]",0,2,83,1,Independent,New York
Adopter,95,60,14.0733312,62.5,Some College,"(1000,1500]",0,1,57,0,Independent,New Jersey
Non-adopter,225,63,18.4697327,62.5,Some College,"(1000,1500]",0,1,50,0,Republican,Arizona
Adopter,190,90,18.5442682,125,High School or Less,"(1500,2000]",0,2,72,0,Republican,California
Adopter,120,250,13.2782656,125,Bachelor Degree,"(2000,3000]",0,2,58,0,Republican,New York
Non-adopter,225,125,19.9905379,87.5,High School or Less,"(1500,2000]",1,3,48,0,Republican,Arizona
Adopter,140,70,14.1837344,87.5,Bachelor Degree,"(1000,1500]",0,3,55,0,Democrat,New Jersey
Adopter,100,125,18.1662272,175,Bachelor Degree,"(1500,2000]",0,1,61,1,Republican,California
Non-adopter,175,88,18.4697327,62.5,High School or Less,"(1000,1500]",0,2,34,0,Independent,Arizona
Adopter,400,70,17.0682681,125,Bachelor Degree,"(2000,3000]",1,2,44,0,Republican,California
Adopter,107,107,13.342706,17.5,Some College,"(1000,1500]",0,1,66,1,Democrat,New York
Non-adopter,125,63,19.9905379,87.5,Bachelor Degree,"(2000,3000]",0,1,75,1,Republican,Arizona
Non-adopter,180,111,14.4799344,250,Graduate Degree,"(2000,3000]",1,2,34,0,Independent,New York
Non-adopter,63,125,13.0458995,87.5,Graduate Degree,"(1000,1500]",0,1,76,1,Democrat,New York
Non-adopter,63,88,13.2689419,37.5,Some College,"(2000,3000]",0,1,67,1,Republican,New York
Non-adopter,88,63,13.0458995,62.5,Some College,"(1000,1500]",0,1,89,1,Democrat,New York
Non-adopter,63,63,19.9905379,37.5,Graduate Degree,"(1500,2000]",0,1,50,0,Democrat,Arizona
Adopter,250,150,18.3624927,125,Bachelor Degree,"(3000,4000]",0,2,73,0,Republican,California
Non-adopter,90,250,13.7425534,37.5,High School or Less,"(0,1000]",1,2,42,0,Democrat,New York
Non-adopter,300,120,19.2908626,62.5,Some College,"(1000,1500]",1,2,32,0,Republican,California
Non-adopter,120,150,13.648607,125,Graduate Degree,"(1000,1500]",1,2,31,0,Independent,New York
Non-adopter,63,63,13.0458995,87.5,Graduate Degree,"(1500,2000]",0,1,80,1,Democrat,New York
Non-adopter,125,125,19.9905379,62.5,High School or Less,"(1500,2000]",0,2,75,1,Republican,Arizona
Adopter,50,75,17.7295933,125,Bachelor Degree,"(2000,3000]",1,2,46,0,Republican,California
Non-adopter,175,225,17.5911423,87.5,Bachelor Degree,"(3000,4000]",0,2,75,1,Independent,California
Adopter,175,60,19.4651838,17.5,Some College,"(1000,1500]",0,2,72,1,Republican,California
Adopter,75,30,19.2908626,62.5,Some College,"(2000,3000]",1,2,41,0,Independent,California
Non-adopter,200,80,14.4642435,87.5,Some College,"(1500,2000]",1,2,55,0,Republican,New Jersey
Non-adopter,150,200,17.0682681,62.5,Bachelor Degree,"(1500,2000]",1,2,32,0,Republican,California
Adopter,242,200,14.4799344,87.5,Some College,"(2000,3000]",0,3,69,1,Republican,New York
Non-adopter,225,125,18.4697327,62.5,Some College,"(1500,2000]",0,2,63,1,Independent,Arizona
Adopter,160,85,19.2908626,125,Some College,"(1500,2000]",0,2,53,0,Republican,California
Non-adopter,250,250,14.3482328,87.5,High School or Less,"(2000,3000]",0,2,62,0,Independent,New York
Adopter,180,120,18.2273476,62.5,Some College,"(1500,2000]",0,3,58,1,Independent,California
Non-adopter,450,325,14.3055579,175,Bachelor Degree,"(2000,3000]",1,2,40,0,Republican,New York
Non-adopter,590,135,14.1458314,175,Some College,"(4000,5000+]",0,2,50,0,Republican,New Jersey
Non-adopter,175,125,14.1615421,62.5,Graduate Degree,"(2000,3000]",1,2,43,0,Independent,New York
Adopter,325,275,17.2770336,125,Bachelor Degree,"(1500,2000]",0,3,54,0,Independent,California
Adopter,200,200,18.700047,125,Graduate Degree,"(2000,3000]",0,3,57,0,Democrat,California
Non-adopter,125,88,14.1406168,175,Graduate Degree,"(1000,1500]",0,2,62,0,Democrat,New Jersey
Adopter,100,200,17.5261569,87.5,Graduate Degree,"(2000,3000]",0,2,88,1,Democrat,California
Adopter,320,310,13.8040129,87.5,Bachelor Degree,"(1000,1500]",0,3,54,0,Independent,New Jersey
Non-adopter,175,175,13.6167158,175,Graduate Degree,"(3000,4000]",0,2,66,1,Republican,New York
Adopter,800,700,18.1662272,175,High School or Less,"(2000,3000]",0,3,57,1,Democrat,California
Adopter,500,300,17.0393921,125,Some College,"(1000,1500]",1,3,67,0,Independent,California
Non-adopter,175,63,19.4651838,87.5,Graduate Degree,"(2000,3000]",0,2,56,0,Independent,California
Adopter,385,250,17.7295933,87.5,Some College,"(1500,2000]",0,2,61,1,Democrat,California
Adopter,150,80,18.2302849,17.5,Some College,"(1000,1500]",0,2,63,1,Independent,California
Non-adopter,60,100,13.32727,37.5,Some College,"(1500,2000]",1,2,34,0,Democrat,New York
Adopter,250,150,17.7295933,125,Some College,"(1500,2000]",0,3,52,0,Democrat,California
Non-adopter,225,88,19.9905379,62.5,Some College,"(1000,1500]",0,2,57,0,Democrat,Arizona
Non-adopter,175,325,13.7607491,125,Some College,"(2000,3000]",1,3,46,0,Democrat,New Jersey
Non-adopter,125,88,14.4799344,125,Graduate Degree,"(2000,3000]",0,2,43,0,Democrat,New York
Adopter,200,100,15.0491191,175,Graduate Degree,"(1500,2000]",0,3,40,0,Independent,New Jersey
Adopter,110,110,18.1662272,37.5,Some College,"(2000,3000]",1,3,71,1,Republican,California
Adopter,400,300,17.7295933,250,Bachelor Degree,"(3000,4000]",1,2,50,0,Democrat,California
Non-adopter,275,175,13.6928697,87.5,Bachelor Degree,"(2000,3000]",1,3,39,0,Independent,New York
Adopter,200,40,14.192373,175,Bachelor Degree,"(1000,1500]",1,2,42,0,Independent,New Jersey
Adopter,90,150,13.8040129,87.5,Bachelor Degree,"(1500,2000]",1,3,60,0,Republican,New Jersey
Non-adopter,88,175,13.2923257,37.5,High School or Less,"(1500,2000]",1,2,38,0,Independent,New York
Non-adopter,225,175,13.5007735,37.5,Some College,"(2000,3000]",1,3,62,0,Republican,New York
Adopter,500,275,18.1662272,175,Graduate Degree,"(1500,2000]",0,2,67,1,Independent,California
Non-adopter,150,100,13.7588789,62.5,Bachelor Degree,"(1500,2000]",0,2,56,0,Independent,New York
Adopter,250,325,17.3676259,87.5,Some College,"(2000,3000]",0,2,75,1,Republican,California
Adopter,550,300,18.700047,125,Bachelor Degree,"(2000,3000]",1,2,44,0,Independent,California
Non-adopter,63,125,13.8040129,87.5,Bachelor Degree,"(0,1000]",0,1,45,0,Republican,New Jersey
Adopter,110,120,17.3227205,125,Some College,"(1500,2000]",1,2,41,0,Republican,California
Non-adopter,375,125,18.4697327,87.5,Some College,"(2000,3000]",0,3,51,0,Independent,Arizona
Adopter,450,100,17.0682681,125,Graduate Degree,"(1500,2000]",1,2,34,0,Independent,California
Adopter,150,400,17.5261569,250,Some College,"(2000,3000]",1,2,46,0,Democrat,California
Non-adopter,125,125,13.0019787,87.5,High School or Less,"(2000,3000]",0,2,57,1,Democrat,New York
Adopter,350,120,19.2908626,250,Bachelor Degree,"(3000,4000]",1,3,44,0,Republican,California
Non-adopter,133,133,16.9027499,62.5,Some College,"(1000,1500]",0,2,59,0,Democrat,California
Non-adopter,450,750,14.5694684,87.5,Bachelor Degree,"(2000,3000]",0,1,65,0,Republican,New Jersey
Non-adopter,125,63,17.7295933,125,Bachelor Degree,"(2000,3000]",0,2,75,1,Independent,California
Non-adopter,450,450,14.1615421,175,High School or Less,"(2000,3000]",0,3,62,1,Republican,New York
Non-adopter,18,38,19.0826154,62.5,Some College,"(1500,2000]",0,3,52,0,Independent,California
Adopter,150,350,18.700047,125,Some College,"(1500,2000]",0,1,43,0,Independent,California
Non-adopter,225,225,15.0308957,125,Graduate Degree,"(1000,1500]",0,2,67,1,Independent,New Jersey
Non-adopter,60,90,17.7295933,37.5,Some College,"(1000,1500]",0,1,69,1,Independent,California
Non-adopter,88,175,13.8040129,87.5,Graduate Degree,"(2000,3000]",0,1,82,1,Democrat,New Jersey
Adopter,350,230,19.0826154,62.5,Some College,"(1500,2000]",0,3,31,0,Independent,California
Adopter,85,70,14.4799344,125,Bachelor Degree,"(1500,2000]",0,2,34,0,Republican,New York
Non-adopter,250,300,14.4911203,62.5,Some College,"(2000,3000]",0,3,31,0,Democrat,New Jersey
Non-adopter,250,50,18.4697327,125,Some College,"(1500,2000]",0,1,55,1,Independent,Arizona
Non-adopter,200,200,14.0439972,37.5,Some College,"(0,1000]",0,3,49,0,Independent,New York
Adopter,359,220,17.3676259,125,Some College,"(2000,3000]",0,2,64,1,Democrat,California
Non-adopter,325,225,18.5442682,250,Bachelor Degree,"(4000,5000+]",1,2,42,0,Republican,California
Non-adopter,125,63,19.8069413,87.5,Some College,"(1500,2000]",0,2,62,1,Independent,Arizona
Non-adopter,125,175,19.8840528,125,Graduate Degree,"(2000,3000]",0,2,43,0,Democrat,Arizona
Adopter,120,120,18.1662272,62.5,Some College,"(2000,3000]",0,2,83,1,Republican,California
Adopter,140,90,17.2168,250,Bachelor Degree,"(2000,3000]",0,2,58,0,Independent,California
Adopter,350,90,14.1837344,125,Graduate Degree,"(1500,2000]",1,2,40,0,Independent,New Jersey
Non-adopter,225,125,14.4799344,62.5,Some College,"(2000,3000]",0,3,55,0,Independent,New York
Adopter,350,250,19.017926,175,Graduate Degree,"(2000,3000]",0,3,62,0,Republican,California
Non-adopter,88,38,19.9905379,87.5,Some College,"(1500,2000]",1,1,55,0,Independent,Arizona
Non-adopter,100,100,13.648607,87.5,Graduate Degree,"(0,1000]",1,2,29,0,Independent,New York
Adopter,170,170,14.4799344,125,Graduate Degree,"(2000,3000]",1,2,49,0,Republican,New York
Adopter,200,85,19.4651838,62.5,Bachelor Degree,"(1000,1500]",0,2,65,1,Republican,California
Adopter,400,200,18.3624927,87.5,High School or Less,"(2000,3000]",1,2,32,0,Republican,California
Adopter,120,70,17.7295933,125,Bachelor Degree,"(1500,2000]",0,2,60,0,Democrat,California
Adopter,35,80,18.2273476,17.5,Some College,"(1000,1500]",0,1,50,0,Independent,California
Adopter,400,200,14.4799344,175,Graduate Degree,"(2000,3000]",0,2,58,1,Democrat,New York
Non-adopter,225,38,18.4697327,37.5,High School or Less,"(1500,2000]",0,1,53,0,Republican,Arizona
Non-adopter,275,125,18.4697327,125,Graduate Degree,"(1500,2000]",1,2,38,0,Republican,Arizona
Non-adopter,199,285,14.7471945,37.5,Bachelor Degree,"(1000,1500]",1,2,31,0,Independent,New Jersey
Non-adopter,125,125,15.0491191,62.5,High School or Less,"(1000,1500]",0,2,66,1,Democrat,New Jersey
Non-adopter,175,125,18.700047,62.5,High School or Less,"(1000,1500]",0,3,53,0,Democrat,California
Non-adopter,80,65,13.648607,125,Graduate Degree,"(2000,3000]",1,3,31,0,Democrat,New York
Adopter,250,60,19.2908626,175,Graduate Degree,"(2000,3000]",1,2,32,0,Democrat,California
Adopter,175,225,17.7295933,62.5,High School or Less,"(1500,2000]",0,2,60,1,Democrat,California
Non-adopter,88,125,18.1662272,175,Graduate Degree,"(3000,4000]",0,2,65,0,Democrat,California
Non-adopter,38,38,18.9795037,62.5,Bachelor Degree,"(1500,2000]",0,2,50,0,Republican,California
Adopter,300,150,14.1535368,125,Some College,"(0,1000]",1,2,46,0,Independent,New Jersey
Non-adopter,88,63,14.6191574,125,High School or Less,"(0,1000]",0,2,50,0,Independent,New Jersey
Adopter,250,250,19.4651838,87.5,Some College,"(2000,3000]",1,2,46,0,Republican,California
Adopter,250,275,18.1662272,125,Some College,"(1000,1500]",0,2,59,0,Independent,California
Adopter,125,200,18.2273476,125,Some College,"(1500,2000]",0,2,62,1,Independent,California
Adopter,360,330,18.1662272,125,Bachelor Degree,"(3000,4000]",0,2,71,1,Independent,California
Adopter,314,175,18.1662272,87.5,Some College,"(1500,2000]",0,2,76,1,Democrat,California
Adopter,250,250,17.7295933,62.5,Bachelor Degree,"(1000,1500]",1,2,33,0,Democrat,California
Non-adopter,125,125,16.9027499,62.5,High School or Less,"(2000,3000]",1,2,43,0,Democrat,California
Adopter,275,300,18.700047,62.5,Some College,"(1000,1500]",0,3,76,1,Republican,California
Adopter,450,200,18.700047,250,Graduate Degree,"(2000,3000]",1,2,50,0,Republican,California
Non-adopter,175,175,19.8069413,37.5,Some College,"(2000,3000]",0,2,52,0,Independent,Arizona
Non-adopter,100,100,18.700047,350,Bachelor Degree,"(1500,2000]",1,2,45,0,Democrat,California
Non-adopter,175,225,14.4940869,62.5,Some College,"(1500,2000]",0,1,71,1,Independent,New Jersey
Non-adopter,175,88,19.9905379,87.5,Some College,"(1000,1500]",0,3,60,0,Republican,Arizona
Non-adopter,140,140,17.1184243,125,High School or Less,"(1500,2000]",0,3,56,1,Independent,California
Adopter,265,125,17.2410675,125,Graduate Degree,"(1500,2000]",1,2,36,0,Democrat,California
Non-adopter,175,63,14.1869744,62.5,Graduate Degree,"(1500,2000]",0,1,59,1,Democrat,New Jersey
Adopter,175,175,19.4651838,62.5,Some College,"(2000,3000]",0,1,48,0,Republican,California
Adopter,250,150,18.2302849,37.5,Some College,"(1000,1500]",0,2,66,1,Republican,California
Non-adopter,175,175,13.9981929,62.5,High School or Less,"(0,1000]",0,3,56,0,Independent,New Jersey
Adopter,100,220,17.1184243,87.5,Some College,"(1500,2000]",1,2,41,0,Republican,California
Non-adopter,88,88,13.448118,17.5,Some College,"(1500,2000]",0,1,58,1,Independent,New York
Non-adopter,80,280,20.1207263,62.5,Some College,"(1500,2000]",0,2,51,0,Republican,Arizona
Adopter,120,150,18.2273476,125,Some College,"(1000,1500]",1,2,35,0,Independent,California
Adopter,150,80,14.4799344,175,Bachelor Degree,"(1000,1500]",0,2,48,1,Republican,New York
Adopter,900,140,13.8040129,87.5,Graduate Degree,"(2000,3000]",0,1,73,1,Democrat,New Jersey
Adopter,120,65,19.4651838,17.5,High School or Less,"(1500,2000]",0,2,65,1,Republican,California
Adopter,120,135,13.3015947,62.5,High School or Less,"(1500,2000]",0,1,53,0,Independent,New York
Adopter,120,100,14.1837344,17.5,Graduate Degree,"(1000,1500]",0,3,68,1,Democrat,New Jersey
Non-adopter,125,88,19.9905379,125,Graduate Degree,"(1500,2000]",0,2,43,0,Democrat,Arizona
Adopter,130,150,18.5442682,125,Some College,"(1500,2000]",0,3,65,1,Republican,California
Non-adopter,225,175,14.1458314,175,Bachelor Degree,"(3000,4000]",0,3,50,0,Republican,New Jersey
Adopter,75,110,18.3624927,250,Graduate Degree,"(2000,3000]",0,2,64,0,Independent,California
Adopter,150,150,17.1184243,125,Bachelor Degree,"(2000,3000]",0,3,54,0,Republican,California
Non-adopter,175,175,13.4287538,125,Bachelor Degree,"(2000,3000]",1,2,33,0,Independent,New York
Non-adopter,125,125,14.0733312,37.5,Some College,"(1000,1500]",1,2,70,1,Democrat,New Jersey
Adopter,650,450,17.0682681,125,Graduate Degree,"(1500,2000]",0,2,57,0,Republican,California
Non-adopter,63,63,18.700047,125,High School or Less,"(1000,1500]",0,3,55,0,Independent,California
Adopter,150,400,17.7295933,175,Bachelor Degree,"(2000,3000]",1,2,40,0,Independent,California
Non-adopter,175,63,14.1458314,87.5,Graduate Degree,"(1000,1500]",1,2,37,0,Independent,New Jersey
Non-adopter,225,88,18.4697327,250,Bachelor Degree,"(2000,3000]",0,3,51,0,Republican,Arizona
Non-adopter,450,275,18.4697327,175,Graduate Degree,"(2000,3000]",0,2,85,1,Independent,Arizona
Non-adopter,140,120,13.648607,87.5,Graduate Degree,"(4000,5000+]",1,2,28,0,Democrat,New York
Non-adopter,125,88,14.1615421,125,Graduate Degree,"(1000,1500]",0,1,72,1,Independent,New York
Non-adopter,38,63,18.1662272,87.5,Graduate Degree,"(1500,2000]",0,1,62,1,Democrat,California
Non-adopter,175,175,18.4697327,37.5,Some College,"(1000,1500]",1,2,33,0,Republican,Arizona
Adopter,197,110,17.7295933,87.5,Bachelor Degree,"(1500,2000]",0,2,78,1,Republican,California
Adopter,400,300,17.0682681,87.5,Bachelor Degree,"(1000,1500]",1,2,36,0,Independent,California
Adopter,200,100,18.1662272,87.5,Bachelor Degree,"(1500,2000]",0,2,53,0,Independent,California
Non-adopter,175,175,18.2273476,125,Bachelor Degree,"(2000,3000]",0,2,42,0,Independent,California
Non-adopter,175,63,18.4697327,17.5,High School or Less,"(1500,2000]",1,2,87,1,Democrat,Arizona
Non-adopter,325,175,19.8840528,37.5,Graduate Degree,"(2000,3000]",0,2,51,1,Republican,Arizona
Non-adopter,275,125,19.8840528,87.5,Some College,"(2000,3000]",0,2,58,0,Independent,Arizona
Non-adopter,125,225,16.5959732,175,Bachelor Degree,"(2000,3000]",0,2,41,0,Republican,California
Adopter,275,250,18.700047,125,Bachelor Degree,"(2000,3000]",1,3,54,0,Democrat,California
Adopter,180,200,18.700047,62.5,Graduate Degree,"(1500,2000]",1,3,68,1,Democrat,California
Non-adopter,38,63,16.3724796,175,Graduate Degree,"(1500,2000]",1,2,55,0,Independent,California
Adopter,350,180,17.0682681,62.5,Some College,"(1000,1500]",0,2,69,1,Republican,California
Non-adopter,350,265,13.9613867,175,High School or Less,"(0,1000]",0,2,45,0,Independent,New York
Non-adopter,125,38,18.1662272,125,Bachelor Degree,"(2000,3000]",1,2,39,0,Independent,California
Non-adopter,225,225,14.1837344,62.5,Some College,"(2000,3000]",0,2,87,1,Republican,New Jersey
Non-adopter,125,125,14.3291156,62.5,Some College,"(2000,3000]",0,2,55,0,Republican,New York
Non-adopter,300,150,17.2051015,62.5,High School or Less,"(1500,2000]",0,2,84,1,Republican,California
Non-adopter,225,125,15.0308957,37.5,Some College,"(3000,4000]",0,1,44,0,Republican,New Jersey
Adopter,300,200,14.4799344,87.5,High School or Less,"(2000,3000]",0,2,61,0,Democrat,New York
Non-adopter,63,63,17.4354629,87.5,Bachelor Degree,"(3000,4000]",0,1,58,0,Independent,California
Adopter,65,85,18.3624927,62.5,Graduate Degree,"(1000,1500]",0,3,79,1,Democrat,California
Non-adopter,225,38,19.2908626,62.5,Some College,"(2000,3000]",0,2,75,1,Republican,California
Non-adopter,225,125,13.8040129,250,Graduate Degree,"(3000,4000]",1,2,36,0,Republican,New Jersey
Non-adopter,175,175,13.1402931,62.5,Some College,"(2000,3000]",0,3,54,0,Independent,New York
Non-adopter,290,450,14.287465,17.5,Some College,"(0,1000]",0,1,74,0,Republican,New York
Adopter,200,100,17.0682681,37.5,Bachelor Degree,"(1500,2000]",0,1,68,1,Democrat,California
Adopter,250,100,14.1837344,125,Bachelor Degree,"(1500,2000]",0,3,53,0,Independent,New Jersey
Adopter,150,80,18.1662272,250,Graduate Degree,"(2000,3000]",1,2,48,0,Republican,California
Non-adopter,125,88,13.1199961,87.5,Bachelor Degree,"(2000,3000]",1,2,49,0,Republican,New York
Adopter,350,300,13.7376053,125,Bachelor Degree,"(2000,3000]",0,2,67,1,Democrat,New Jersey
Non-adopter,63,125,13.6167158,175,Graduate Degree,"(0,1000]",0,3,54,0,Independent,New York
Non-adopter,125,88,19.8840528,125,Bachelor Degree,"(2000,3000]",0,2,49,0,Republican,Arizona
Adopter,140,90,18.700047,250,Some College,"(1500,2000]",1,3,48,0,Republican,California
Non-adopter,450,125,14.1406168,125,Bachelor Degree,"(3000,4000]",0,2,61,1,Independent,New Jersey
Adopter,250,700,17.3227205,125,Graduate Degree,"(3000,4000]",0,3,76,1,Democrat,California
Adopter,150,200,13.5188008,175,Graduate Degree,"(2000,3000]",0,2,69,1,Independent,New York
Non-adopter,275,275,18.4697327,17.5,Some College,"(1000,1500]",0,3,62,1,Democrat,Arizona
Adopter,325,150,18.3624927,87.5,Bachelor Degree,"(2000,3000]",0,1,56,0,Independent,California
Adopter,350,250,16.5239734,125,Some College,"(1500,2000]",1,2,49,0,Democrat,California
Non-adopter,125,125,18.700047,62.5,Some College,"(1500,2000]",0,2,75,0,Independent,California
Adopter,100,140,14.4799344,87.5,Bachelor Degree,"(2000,3000]",1,3,68,1,Independent,New York
Non-adopter,50,40,19.9905379,87.5,Graduate Degree,"(2000,3000]",1,2,25,0,Democrat,Arizona
Non-adopter,175,125,14.287465,125,Bachelor Degree,"(1000,1500]",0,2,80,0,Democrat,New York
Non-adopter,175,225,14.5612251,125,High School or Less,"(1500,2000]",0,3,51,0,Democrat,New Jersey
Non-adopter,270,220,13.0019787,125,Bachelor Degree,"(1000,1500]",0,3,25,0,Republican,New York
Adopter,182,235,18.1662272,125,Bachelor Degree,"(2000,3000]",0,2,55,0,Republican,California
Non-adopter,225,125,13.0019787,125,Some College,"(1000,1500]",0,3,24,0,Republican,New York
Non-adopter,225,125,13.5895574,87.5,High School or Less,"(1500,2000]",0,3,57,0,Independent,New York
Non-adopter,275,275,18.700047,62.5,High School or Less,"(1000,1500]",1,2,42,0,Democrat,California
Non-adopter,150,105,14.4940869,125,Bachelor Degree,"(2000,3000]",1,2,44,0,Republican,New Jersey
Non-adopter,175,63,19.9905379,87.5,Bachelor Degree,"(1000,1500]",0,3,60,0,Republican,Arizona
Non-adopter,200,500,18.700047,350,Graduate Degree,"(1500,2000]",1,2,47,0,Republican,California
Non-adopter,225,275,14.4799344,175,Graduate Degree,"(2000,3000]",0,2,78,1,Democrat,New York
Adopter,300,165,18.5442682,175,Bachelor Degree,"(1500,2000]",0,2,58,0,Independent,California
Non-adopter,125,63,19.9372954,87.5,Some College,"(2000,3000]",0,3,50,0,Independent,Arizona
Adopter,250,150,14.218588,125,Graduate Degree,"(2000,3000]",0,2,65,0,Republican,New Jersey
Adopter,120,65,19.9905379,87.5,Bachelor Degree,"(1500,2000]",0,2,62,1,Independent,Arizona
Non-adopter,225,125,18.4697327,62.5,Bachelor Degree,"(1500,2000]",0,2,29,0,Republican,Arizona
Non-adopter,550,400,14.1621756,87.5,Graduate Degree,"(1500,2000]",1,2,24,0,Democrat,New Jersey
Non-adopter,88,88,18.2321857,125,Some College,"(2000,3000]",1,3,51,0,Independent,California
Adopter,350,275,14.4799344,175,Bachelor Degree,"(2000,3000]",1,2,42,0,Republican,New York
Adopter,200,100,19.4651838,62.5,Some College,"(2000,3000]",0,2,66,1,Democrat,California
Non-adopter,175,88,18.4697327,125,Graduate Degree,"(2000,3000]",0,1,76,1,Republican,Arizona
Adopter,700,280,17.0682681,62.5,Bachelor Degree,"(2000,3000]",0,3,79,1,Republican,California
Adopter,500,200,18.5312698,175,High School or Less,"(2000,3000]",0,2,61,0,Republican,California
Adopter,300,300,17.0682681,87.5,Bachelor Degree,"(3000,4000]",1,3,66,1,Republican,California
Non-adopter,38,88,18.2273476,125,Graduate Degree,"(2000,3000]",0,2,52,0,Independent,California
Non-adopter,175,88,14.7471945,87.5,High School or Less,"(1500,2000]",0,2,64,0,Republican,New Jersey
Non-adopter,63,63,17.1184243,250,High School or Less,"(1000,1500]",0,2,54,0,Republican,California
Non-adopter,70,80,14.4799344,17.5,Graduate Degree,"(2000,3000]",0,1,60,0,Independent,New York
Non-adopter,380,260,17.5098528,37.5,Bachelor Degree,"(2000,3000]",1,2,39,0,Democrat,California
Non-adopter,115,70,13.9606699,125,Bachelor Degree,"(2000,3000]",1,2,38,0,Republican,New Jersey
Non-adopter,200,125,18.1662272,62.5,Some College,"(1500,2000]",1,2,38,0,Republican,California
Adopter,100,280,17.1106164,250,Graduate Degree,"(2000,3000]",1,3,62,0,Democrat,California
Non-adopter,350,200,14.5948679,87.5,Graduate Degree,"(2000,3000]",0,3,39,0,Democrat,New Jersey
Non-adopter,88,125,18.2273476,350,Graduate Degree,"(3000,4000]",1,1,42,0,Democrat,California
Adopter,297,297,18.5312698,125,Graduate Degree,"(2000,3000]",0,2,74,1,Republican,California
Non-adopter,200,100,14.192373,87.5,Bachelor Degree,"(3000,4000]",0,2,27,0,Independent,New Jersey
Non-adopter,300,500,14.3482328,125,Graduate Degree,"(2000,3000]",1,2,28,0,Democrat,New York
Non-adopter,175,125,19.9905379,125,Some College,"(2000,3000]",0,2,86,1,Republican,Arizona
Non-adopter,300,300,18.4697327,250,Graduate Degree,"(4000,5000+]",1,2,33,0,Republican,Arizona
Non-adopter,225,125,13.6928697,37.5,High School or Less,"(2000,3000]",1,2,35,0,Republican,New York
Non-adopter,200,300,13.9613867,87.5,Some College,"(4000,5000+]",1,2,35,0,Independent,New York
Non-adopter,175,175,18.4697327,62.5,Bachelor Degree,"(3000,4000]",0,1,75,1,Republican,Arizona
Non-adopter,175,38,18.4697327,37.5,Some College,"(1000,1500]",0,1,78,1,Republican,Arizona
Non-adopter,125,125,14.1104985,37.5,Bachelor Degree,"(2000,3000]",0,2,76,1,Democrat,New Jersey
Non-adopter,125,88,19.9905379,37.5,High School or Less,"(3000,4000]",0,2,53,1,Democrat,Arizona
Adopter,130,200,18.1662272,125,Bachelor Degree,"(2000,3000]",0,3,30,0,Democrat,California
Adopter,250,220,18.2273476,62.5,Bachelor Degree,"(2000,3000]",0,1,79,1,Independent,California
Non-adopter,88,63,19.9372954,125,High School or Less,"(2000,3000]",0,2,68,1,Independent,Arizona
Adopter,75,75,18.5442682,175,Bachelor Degree,"(2000,3000]",0,2,64,0,Republican,California
Non-adopter,275,88,13.9606699,175,Bachelor Degree,"(2000,3000]",0,1,63,0,Democrat,New Jersey
Adopter,150,160,18.5442682,125,Some College,"(2000,3000]",0,3,61,0,Republican,California
Non-adopter,88,88,14.2548874,62.5,Some College,"(0,1000]",0,2,60,1,Democrat,New York
Non-adopter,63,175,18.1662272,125,Some College,"(3000,4000]",0,2,82,0,Republican,California
Non-adopter,225,175,18.4697327,175,Graduate Degree,"(2000,3000]",0,2,48,0,Republican,Arizona
Non-adopter,450,125,14.1104985,250,Graduate Degree,"(4000,5000+]",0,3,53,0,Democrat,New Jersey
Non-adopter,90,120,13.7866209,62.5,Bachelor Degree,"(0,1000]",0,3,28,0,Republican,New York
Non-adopter,250,130,18.700047,37.5,Some College,"(1500,2000]",1,3,46,1,Democrat,California
Adopter,380,380,18.1662272,125,Some College,"(1500,2000]",0,2,45,0,Independent,California
Adopter,300,350,14.4140836,62.5,Some College,"(1500,2000]",1,3,62,1,Democrat,New York
Adopter,300,150,18.1662272,87.5,Graduate Degree,"(2000,3000]",0,2,71,1,Democrat,California
Adopter,150,200,18.1662272,62.5,Graduate Degree,"(2000,3000]",0,3,72,1,Republican,California
Non-adopter,275,175,18.4697327,87.5,Bachelor Degree,"(1500,2000]",1,2,42,0,Republican,Arizona
Adopter,242,213,18.2273476,62.5,Some College,"(2000,3000]",0,2,82,1,Republican,California
Adopter,150,100,18.1662272,125,Some College,"(1000,1500]",1,3,54,0,Republican,California
Non-adopter,125,38,19.9905379,37.5,Graduate Degree,"(1000,1500]",0,1,62,0,Democrat,Arizona
Adopter,250,120,18.2302849,125,Graduate Degree,"(1500,2000]",0,2,62,1,Republican,California
Non-adopter,125,88,14.7471945,17.5,Some College,"(1500,2000]",0,2,52,0,Independent,New Jersey
Non-adopter,300,200,13.9606699,125,Graduate Degree,"(2000,3000]",0,1,82,1,Republican,New Jersey
