adopter,state,bill_win,bill_sum,cf,income,educ,sqft,kids,n_peo,age,retire,party
Adopter,California,125,600,0.182302849,125000,Graduate Degree,"(1000,1500]",0,1,29,0,Independent
Adopter,New Jersey,200,200,0.141458314,125000,Some College,"(1500,2000]",1,2,37,0,Independent
Adopter,California,175,300,0.172410675,125000,Bachelor Degree,"(1500,2000]",1,2,48,0,Democrat
Adopter,California,225,340,0.182273476,250000,Bachelor Degree,"(1500,2000]",1,2,51,0,Republican
Adopter,California,100,170,0.185312698,87500,Bachelor Degree,"(2000,3000]",0,4,56,0,Republican
Adopter,New Jersey,125,230,0.141458314,125000,Some College,"(3000,4000]",0,2,68,1,Republican
Adopter,California,60,100,0.193780232,62500,Bachelor Degree,"(1000,1500]",0,2,63,0,Independent
Adopter,California,100,350,0.170682681,87500,Some College,"(2000,3000]",0,2,58,0,Democrat
Adopter,California,250,320,0.181662272,125000,Some College,"(3000,4000]",0,2,74,1,Democrat
Adopter,California,248,189,0.172969523,87500,Some College,"(2000,3000]",0,3,38,0,Democrat
Adopter,New Jersey,50,150,0.141535368,87500,Graduate Degree,"(2000,3000]",0,1,57,1,Democrat
Adopter,California,100,50,0.172051015,62500,Bachelor Degree,"(1000,1500]",0,2,74,1,Republican
Adopter,California,150,200,0.193780232,87500,Bachelor Degree,"(1000,1500]",1,1,44,0,Democrat
Adopter,New Jersey,400,200,0.14218588,125000,Graduate Degree,"(1500,2000]",0,2,63,1,Independent
Adopter,California,100,250,0.194651838,17500,Some College,"(1000,1500]",1,1,29,0,Republican
Adopter,New York,270,340,0.144799344,87500,Graduate Degree,"(1500,2000]",0,2,62,1,Independent
Adopter,California,60,40,0.181662272,125000,Graduate Degree,"(2000,3000]",0,3,29,0,Democrat
Adopter,New York,100,200,0.144799344,250000,Bachelor Degree,"(1000,1500]",1,2,35,0,Democrat
Adopter,New Jersey,250,180,0.141837344,250000,Bachelor Degree,"(1500,2000]",0,2,44,0,Democrat
Adopter,New York,150,75,0.136167158,125000,Some College,"(1500,2000]",1,2,33,0,Democrat
Adopter,New Jersey,175,100,0.141837344,87500,Graduate Degree,"(1500,2000]",0,2,72,1,Democrat
Adopter,California,100,600,0.182302849,350000,Some College,"(1500,2000]",1,2,33,0,Republican
Adopter,California,200,300,0.183624927,350000,Some College,"(2000,3000]",1,4,49,0,Republican
Adopter,California,280,400,0.177750341,250000,Bachelor Degree,"(2000,3000]",1,2,34,0,Democrat
Adopter,California,96,50,0.181662272,37500,Some College,"(0,1000]",0,3,72,1,Republican
Adopter,California,60,250,0.182302849,87500,Bachelor Degree,"(1000,1500]",1,2,52,0,Republican
Adopter,New Jersey,40,165,0.141837344,125000,Graduate Degree,"(2000,3000]",1,2,37,0,Independent
Adopter,California,140,80,0.177295933,125000,High School or Less,"(1000,1500]",0,2,57,0,Democrat
Adopter,New Jersey,110,160,0.14218588,175000,Bachelor Degree,"(1500,2000]",1,2,36,0,Democrat
Adopter,California,135,575,0.194651838,37500,Some College,"(1500,2000]",1,3,69,1,Republican
